season,episode,title,rank,numberReviews,linkReviews,date,duration,duration,director,writers
6,10,The Girl Who Waited,8.6,"3,801",/title/tt1795139/ratings?ref_=tt_ov_rt,9/10/11,47,47min,Nick Hurran,[u'Tom MacRae']
6,12,Closing Time,7.8,"3,197",/title/tt1795141/ratings?ref_=tt_ov_rt,9/24/11,46,46min,Steve Hughes,[u'Gareth Roberts']
6,1,The Impossible Astronaut,9,"4,666",/title/tt1723888/ratings?ref_=tt_ov_rt,4/23/11,44,44min,Toby Haynes,[u'Steven Moffat']
6,3,The Curse of the Black Spot,6.9,"3,728",/title/tt1721225/ratings?ref_=tt_ov_rt,5/7/11,46,46min,Jeremy Webb,[u'Steve Thompson']
6,5,The Rebel Flesh,7.3,"3,207",/title/tt1777783/ratings?ref_=tt_ov_rt,5/21/11,43,43min,Julian Simpson,[u'Matthew Graham']
6,7,A Good Man Goes to War,9.2,"4,843",/title/tt1777781/ratings?ref_=tt_ov_rt,6/4/11,49,49min,Peter Hoar,[u'Steven Moffat']
6,9,Night Terrors,7.2,"3,135",/title/tt1795143/ratings?ref_=tt_ov_rt,9/3/11,43,43min,Richard Clark,[u'Mark Gatiss']
6,11,The God Complex,8.2,"3,449",/title/tt1795140/ratings?ref_=tt_ov_rt,9/17/11,49,49min,Nick Hurran,[u'Toby Whithouse']
6,13,The Wedding of River Song,8.7,"4,005",/title/tt1824359/ratings?ref_=tt_ov_rt,10/1/11,46,46min,Jeremy Webb,[u'Steven Moffat']
7,0,"The Doctor, the Widow and the Wardrobe",7.4,"3,538",/title/tt1998643/ratings?ref_=tt_ov_rt,12/25/11,59,59min,Farren Blackburn,[u'Steven Moffat']
7,2,Dinosaurs on a Spaceship,7.6,"3,896",/title/tt2317659/ratings?ref_=tt_ov_rt,9/8/12,45,45min,Saul Metzstein,[u'Chris Chibnall']
7,4,The Power of Three,7.7,"3,492",/title/tt2399633/ratings?ref_=tt_ov_rt,9/22/12,41,41min,Douglas Mackinnon,[u'Chris Chibnall']
7,6,The Snowmen,8.5,"4,397",/title/tt2380513/ratings?ref_=tt_ov_rt,12/25/12,60,1h,Saul Metzstein,[u'Steven Moffat']
7,8,The Rings of Akhaten,7.4,"3,935",/title/tt2284610/ratings?ref_=tt_ov_rt,4/6/13,46,46min,Farren Blackburn,[u'Neil Cross']
7,10,Hide,7.9,"3,251",/title/tt2267332/ratings?ref_=tt_ov_rt,4/20/13,45,45min,Jamie Payne,[u'Neil Cross']
7,12,The Crimson Horror,7.5,"3,115",/title/tt2204480/ratings?ref_=tt_ov_rt,5/4/13,47,47min,Saul Metzstein,[u'Mark Gatiss']
7,14,The Name of the Doctor,9.1,"5,354",/title/tt2267346/ratings?ref_=tt_ov_rt,5/18/13,44,44min,Saul Metzstein,[u'Steven Moffat']
7,1,Asylum of the Daleks,8.7,"4,930",/title/tt2402301/ratings?ref_=tt_ov_rt,9/1/12,49,49min,Nick Hurran,"[u'Steven Moffat', u'Terry Nation']"
7,3,A Town Called Mercy,7.5,"3,672",/title/tt2340501/ratings?ref_=tt_ov_rt,9/15/12,44,44min,Saul Metzstein,[u'Toby Whithouse']
7,5,The Angels Take Manhattan,9.1,"5,329",/title/tt2378951/ratings?ref_=tt_ov_rt,9/29/12,44,44min,Nick Hurran,[u'Steven Moffat']
7,7,The Bells of Saint John,8.1,"3,663",/title/tt2222152/ratings?ref_=tt_ov_rt,3/30/13,45,45min,Colm McCarthy,[u'Steven Moffat']
7,9,Cold War,7.3,"3,233",/title/tt2267312/ratings?ref_=tt_ov_rt,4/13/13,44,44min,Douglas Mackinnon,[u'Mark Gatiss']
7,11,Journey to the Centre of the TARDIS,7.6,"3,198",/title/tt2267326/ratings?ref_=tt_ov_rt,4/27/13,47,47min,Mat King,[u'Steve Thompson']
7,13,Nightmare in Silver,7.5,"3,104",/title/tt2267338/ratings?ref_=tt_ov_rt,5/11/13,47,47min,Stephen Woolfenden,[u'Neil Gaiman']
8,1,Deep Breath,8,"5,692",/title/tt3469416/ratings?ref_=tt_ov_rt,8/23/14,76,1h 16min,Ben Wheatley,[u'Steven Moffat']
8,3,Robot of Sherwood,7.2,"4,345",/title/tt3714112/ratings?ref_=tt_ov_rt,9/6/14,46,46min,Paul Murphy,[u'Mark Gatiss']
8,5,Time Heist,8.1,"3,780",/title/tt3845940/ratings?ref_=tt_ov_rt,9/20/14,45,45min,Douglas Mackinnon,"[u'Steve Thompson', u'Steven Moffat']"
8,7,Kill the Moon,7.1,"3,861",/title/tt3787384/ratings?ref_=tt_ov_rt,10/4/14,45,45min,Paul Wilmshurst,[u'Peter Harness']
8,9,Flatline,8.5,"3,543",/title/tt3834038/ratings?ref_=tt_ov_rt,10/18/14,43,43min,Douglas Mackinnon,[u'Jamie Mathieson']
8,11,Dark Water,8.8,"3,776",/title/tt3834042/ratings?ref_=tt_ov_rt,11/1/14,47,47min,Rachel Talalay,[u'Steven Moffat']
8,2,Into the Dalek,7.8,"4,281",/title/tt3737226/ratings?ref_=tt_ov_rt,8/30/14,47,47min,Ben Wheatley,"[u'Phil Ford', u'Steven Moffat']"
8,4,Listen,9,"5,543",/title/tt3745430/ratings?ref_=tt_ov_rt,9/13/14,47,47min,Douglas Mackinnon,[u'Steven Moffat']
8,6,The Caretaker,7.5,"3,353",/title/tt3845938/ratings?ref_=tt_ov_rt,9/27/14,45,45min,Paul Murphy,"[u'Gareth Roberts', u'Steven Moffat']"
8,8,Mummy on the Orient Express,8.6,"3,737",/title/tt3787400/ratings?ref_=tt_ov_rt,10/11/14,46,46min,Paul Wilmshurst,[u'Jamie Mathieson']
8,10,In the Forest of the Night,6.2,"3,459",/title/tt3834040/ratings?ref_=tt_ov_rt,10/25/14,45,45min,Sheree Folkson,[u'Frank Cottrell Boyce']
8,12,Death in Heaven,8,"3,543",/title/tt3834044/ratings?ref_=tt_ov_rt,11/8/14,57,57min,Rachel Talalay,[u'Steven Moffat']
9,0,Last Christmas,8.4,"3,487",/title/tt4050552/ratings?ref_=tt_ov_rt,12/25/14,61,1h 1min,Paul Wilmshurst,[u'Steven Moffat']
9,2,The Witch's Familiar,8.6,"3,284",/title/tt4464958/ratings?ref_=tt_ov_rt,9/26/15,50,50min,Hettie Macdonald,[u'Steven Moffat']
9,4,Before the Flood,8.2,"2,850",/title/tt4483520/ratings?ref_=tt_ov_rt,10/10/15,42,42min,Daniel O'Hara,[u'Toby Whithouse']
9,6,The Woman Who Lived,7.8,"2,858",/title/tt4545140/ratings?ref_=tt_ov_rt,10/24/15,45,45min,Edward Bazalgette,[u'Catherine Tregenna']
9,8,The Zygon Inversion,8.7,"2,996",/title/tt4652846/ratings?ref_=tt_ov_rt,11/7/15,46,46min,Daniel Nettheim,"[u'Peter Harness', u'Steven Moffat']"
9,10,Face the Raven,8.7,"3,311",/title/tt4701538/ratings?ref_=tt_ov_rt,11/21/15,46,46min,Justin Molotnikov,[u'Sarah Dollard']
9,12,Hell Bent,8.9,"3,855",/title/tt4701544/ratings?ref_=tt_ov_rt,12/5/15,60,1h,Rachel Talalay,[u'Steven Moffat']
9,1,The Magician's Apprentice,8.7,"3,896",/title/tt4289846/ratings?ref_=tt_ov_rt,9/19/15,49,49min,Hettie Macdonald,[u'Steven Moffat']
9,3,Under the Lake,8.4,"3,150",/title/tt4483506/ratings?ref_=tt_ov_rt,10/3/15,46,46min,Daniel O'Hara,[u'Toby Whithouse']
9,5,The Girl Who Died,7.8,"2,934",/title/tt4507160/ratings?ref_=tt_ov_rt,10/17/15,48,48min,Edward Bazalgette,"[u'Jamie Mathieson', u'Steven Moffat']"
9,7,The Zygon Invasion,8,"2,700",/title/tt4652840/ratings?ref_=tt_ov_rt,10/31/15,45,45min,Daniel Nettheim,[u'Peter Harness']
9,9,Sleep No More,6.1,"3,094",/title/tt4787004/ratings?ref_=tt_ov_rt,11/14/15,45,45min,Justin Molotnikov,[u'Mark Gatiss']
9,11,Heaven Sent,9.6,"6,699",/title/tt4701542/ratings?ref_=tt_ov_rt,11/28/15,55,55min,Rachel Talalay,[u'Steven Moffat']
9,13,The Husbands of River Song,8.6,"3,070",/title/tt4701546/ratings?ref_=tt_ov_rt,12/25/15,56,56min,Douglas Mackinnon,[u'Steven Moffat']
10,0,The Return of Doctor Mysterio,7.5,"2,902",/title/tt5163494/ratings?ref_=tt_ov_rt,12/25/16,61,1h 1min,Edward Bazalgette,[u'Steven Moffat']
10,2,Smile,7.3,"2,129",/title/tt5985750/ratings?ref_=tt_ov_rt,4/22/17,45,45min,Lawrence Gough,[u'Frank Cottrell Boyce']
10,4,Knock Knock,7.7,"2,036",/title/tt5985754/ratings?ref_=tt_ov_rt,5/6/17,44,44min,Bill Anderson,[u'Mike Bartlett']
10,6,Extremis,8.6,"2,175",/title/tt6340130/ratings?ref_=tt_ov_rt,5/20/17,48,48min,Daniel Nettheim,[u'Steven Moffat']
10,8,The Lie of the Land,7.4,"1,645",/title/tt6333372/ratings?ref_=tt_ov_rt,6/3/17,44,44min,Wayne Yip,[u'Toby Whithouse']
10,10,The Eaters of Light,7.2,"1,536",/title/tt6250158/ratings?ref_=tt_ov_rt,6/17/17,42,42min,Charlie Palmer,[u'Rona Munro']
10,12,The Doctor Falls,9.1,"2,311",/title/tt6340142/ratings?ref_=tt_ov_rt,7/1/17,60,1h,Rachel Talalay,[u'Steven Moffat']
10,1,The Pilot,8.1,"2,796",/title/tt5848216/ratings?ref_=tt_ov_rt,4/15/17,49,49min,Lawrence Gough,[u'Steven Moffat']
10,3,Thin Ice,7.5,"2,041",/title/tt5985752/ratings?ref_=tt_ov_rt,4/29/17,44,44min,Bill Anderson,[u'Sarah Dollard']
10,5,Oxygen,8.3,"2,058",/title/tt6250146/ratings?ref_=tt_ov_rt,5/13/17,44,44min,Charlie Palmer,[u'Jamie Mathieson']
10,7,The Pyramid at the End of the World,7.9,"1,712",/title/tt6336800/ratings?ref_=tt_ov_rt,5/27/17,46,46min,Daniel Nettheim,"[u'Peter Harness', u'Steven Moffat']"
10,9,Empress of Mars,7.3,"1,605",/title/tt6340134/ratings?ref_=tt_ov_rt,6/10/17,43,43min,Wayne Yip,[u'Mark Gatiss']
10,11,World Enough and Time,9.3,"2,355",/title/tt6340138/ratings?ref_=tt_ov_rt,6/24/17,45,45min,Rachel Talalay,[u'Steven Moffat']
